ensemblID	gene_name	logFC_prenatal	SE_prenatal	logFC_adult	SE_adult	PRENATAL	ADULT	SHARED0.5	SHARED1	SHARED2	OPPOSITE	specificity	sexDE_prenatal_direction	sexDE_adult_direction	sexDE	sexDEsimplified	sexDEfinal	sexDE_origin	annot	Region	annotXCI
ENSG00000006016	CRLF1	-0.0697808688360368	0.125855234388949	-0.291733314155153	0.0788466426419741	0.073	0.1285	0.372	0.1155	0.234	0.077	Unclassified	ns	male-biased	adult male-biased	male-biased	NA	adult	Autosome	NA	NA
ENSG00000006194	ZNF263	-0.121095292719515	0.0363677692230236	-0.00501659666942743	0.0150361602839231	0.96	0	0.039	5e-04	0	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000006432	MAP3K9	0.0257395749015089	0.0744619736020933	-0.0575235281623562	0.0159953812188058	0.1255	0.031	0.5975	0.03	0.0385	0.1775	Unclassified	ns	male-biased	adult male-biased	male-biased	NA	adult	Autosome	NA	NA
ENSG00000006453	BAIAP2L1	0.334114204250412	0.124191462184711	0.237209425585465	0.0402829999537766	0	0.0015	0.8685	0.1015	0.0285	0	Shared	ns	female-biased	adult female-biased	female-biased	female-biased	adult	Autosome	NA	NA
ENSG00000006534	ALDH3B1	0.27271300000181	0.0708376389659476	0.0568860266929047	0.0296647151017946	0.624	0	0.375	5e-04	5e-04	0	Unclassified	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000006695	COX10	-0.134240931837748	0.0427047660882733	-0.0190973217783975	0.0172481448538057	0.8565	5e-04	0.1405	0.002	0	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000006740	ARHGAP44	-0.128500890273985	0.0619185321517499	-0.0669142418167278	0.0167370257050359	0.0115	5e-04	0.9555	0.0185	0.0115	0.0025	Shared	ns	male-biased	adult male-biased	male-biased	male-biased	adult	Autosome	NA	NA
ENSG00000006747	SCIN	0.255792300420894	0.0803589858171351	0.0604876766726785	0.0612247110015805	0.6815	0	0.316	0.002	0	5e-04	Unclassified	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000006756	ARSD	0.45326413334364	0.0613751290457616	0.0936092575500765	0.0194617738801722	0.0435	0	0.9565	0	0	0	Shared	female-biased	female-biased	common female-biased	female-biased	female-biased	common	X chr	nonPAR	Escape
ENSG00000006757	PNPLA4	0.357005659494957	0.0567711309648412	0.38034406721192	0.022190774545579	0	0	0	0.986	0.014	0	Shared	female-biased	female-biased	common female-biased	female-biased	female-biased	common	X chr	nonPAR	Escape
ENSG00000007047	MARK4	-0.14724883415357	0.0533020557170752	-0.0592706332985768	0.0136995740365412	0.012	5e-04	0.971	0.0105	0.0055	5e-04	Shared	ns	male-biased	adult male-biased	male-biased	male-biased	adult	Autosome	NA	NA
ENSG00000007264	MATK	-0.420926652795995	0.125633392593907	-0.0883063558134135	0.0189907474290209	0.0015	0	0.989	0.007	0.0015	0.001	Shared	male-biased	male-biased	common male-biased	male-biased	male-biased	common	Autosome	NA	NA
ENSG00000007520	TSR3	-0.407800257792575	0.117669075318414	-0.0298087488601653	0.0123877636337066	0.9515	0	0.048	0	5e-04	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000007944	MYLIP	-0.304192874223032	0.0803749288207533	-0.0190710021819211	0.0223395034212555	0.9805	0	0.019	0	0	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000008256	CYTH3	-0.123629073692188	0.0385185246595946	0.00892859668513993	0.0206680488376617	0.9635	0.001	0.031	0	0	0.0045	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000008300	CELSR3	-0.0216907375978537	0.0648402126251326	-0.0593242768374142	0.0148860641580364	0.043	0.036	0.757	0.034	0.048	0.082	Shared	ns	male-biased	adult male-biased	male-biased	male-biased	adult	Autosome	NA	NA
ENSG00000008311	AASS	0.412299446438478	0.0676276664956069	0.0528852182552446	0.0237632771640253	0.9895	0	0.0105	0	0	0	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000008324	SS18L2	-0.207047450529522	0.0583060439824765	-0.0217153111356183	0.0130944429877626	0.959	0	0.0395	5e-04	5e-04	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000008517	IL32	-0.240193133727652	0.145873165343733	0.277451787172596	0.0757281723452009	0.0515	0.045	0.0145	0.0025	0.0165	0.87	Opposite	ns	female-biased	adult female-biased	female-biased	NA	adult	Autosome	NA	NA
ENSG00000008853	RHOBTB2	-0.160382791851666	0.0688674815050999	-0.0698180095939877	0.0164456214602763	0.009	0.0015	0.957	0.0215	0.0075	0.0035	Shared	ns	male-biased	adult male-biased	male-biased	male-biased	adult	Autosome	NA	NA
ENSG00000009765	IYD	0.293836974484773	0.0801206610679077	0.164443214773342	0.149464120812656	0.562	0	0.4145	0.0155	0.004	0.004	Unclassified	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000009844	VTA1	-0.148960108420636	0.0394992003268355	0.0166227404232952	0.0110471533191926	0.998	0	5e-04	0	0	0.0015	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000010270	STARD3NL	-0.174597020424943	0.0493330839484332	-0.0166645985082246	0.011190475891026	0.9665	0	0.0325	0.001	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000010292	NCAPD2	0.318436714161895	0.0443027738956849	0.0334819629938389	0.0156850641054446	0.999	0	0.001	0	0	0	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000010318	PHF7	0.18779120756483	0.0557443648444499	-0.0269280724806983	0.0190224974975632	0.9945	0	0.001	5e-04	0	0.004	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000011198	ABHD5	-0.167934931482393	0.0428324937596871	0.0524233676411933	0.0199077461248887	0.947	5e-04	5e-04	0	0	0.052	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000011201	ANOS1	-1.63234475805975	0.121906534859676	0.0539350909024993	0.0237379341205579	1	0	0	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	X chr	nonPAR	Escape
ENSG00000011332	DPF1	-0.086495135050879	0.061414722545989	-0.0586210211458748	0.0164745763090765	0.0385	0.004	0.9045	0.026	0.0185	0.0085	Shared	ns	male-biased	adult male-biased	male-biased	male-biased	adult	Autosome	NA	NA
ENSG00000011422	PLAUR	0.262897711426458	0.0586902317175001	0.0663754812156926	0.0399163326705888	0.5805	0	0.417	0.002	5e-04	0	Unclassified	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000011426	ANLN	0.259407194071235	0.0541970987002619	0.0184831845284868	0.0308101402592333	0.981	0	0.019	0	0	0	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000011451	WIZ	-0.217434009482456	0.056698711438404	-0.0210480478887602	0.0154902154048176	0.9755	0	0.0245	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000011465	DCN	-0.724633582670081	0.215245433598273	0.0218389898707688	0.0295115542177756	0.985	0	0.012	0	5e-04	0.0025	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000011523	CEP68	-0.116114890425735	0.0333301973250284	-0.015674832213107	0.0114126376583231	0.91	0	0.0895	0	5e-04	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000012048	BRCA1	0.427462108003625	0.0566587765654237	0.03906038401792	0.0194137440171187	0.9995	0	5e-04	0	0	0	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000013016	EHD3	-0.188261553532919	0.0546733720459738	-0.0200989567121006	0.0162821610429894	0.9395	0	0.0595	0	5e-04	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000013275	PSMC4	-0.146860597901505	0.0459604227076834	-0.000606566339612866	0.0101202054757393	0.9895	0	0.0105	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000013392	RWDD2A	-0.15949946552455	0.0421220801676317	-0.0267068644158805	0.0141961036216825	0.842	0	0.158	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000013503	POLR3B	-0.184295291310446	0.0532134471234355	0.0154671126428441	0.015276230778377	0.9955	0	0.0025	0	0	0.002	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000013561	RNF14	-0.163874539565852	0.03818146835936	-0.0211567668221462	0.0103186585674816	0.949	0	0.051	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000013573	DDX11	0.300679667006862	0.0915175041275474	0.095242634965357	0.098083852845554	0.6155	0	0.372	0.008	0.003	0.0015	Unclassified	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000014138	POLA2	0.177875633942442	0.0506555538228706	0.0427358231180943	0.0204681973745005	0.543	0	0.453	0.003	0.001	0	Unclassified	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000014641	MDH1	-0.174541193868985	0.0521934099669035	-0.0394349515477215	0.0123864327727634	0.323	0	0.6715	0.005	5e-04	0	Unclassified	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000014824	SLC30A9	-0.126500259528201	0.0360072641391809	-0.00329085190337331	0.0176200757628206	0.961	0	0.037	0	0	0.002	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000014914	MTMR11	0.200936429825913	0.100830581135553	0.0864913428577718	0.0253025788679906	0.024	0.0025	0.938	0.0195	0.011	0.005	Shared	ns	female-biased	adult female-biased	female-biased	female-biased	adult	Autosome	NA	NA
ENSG00000015171	ZMYND11	-0.0950803510055546	0.0290528667308589	-0.026763162085519	0.0102566324324183	0.4865	0	0.5045	0.0065	0.001	0.0015	Unclassified	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000015475	BID	-0.364993946996836	0.0716306358342765	-0.0148060209151035	0.0162181347179872	0.9995	0	5e-04	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000015676	NUDCD3	-0.149526411167143	0.0430557558354519	-0.00683930882841798	0.0106307158382624	0.9825	5e-04	0.0155	0	0.001	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000020129	NCDN	-0.313293919419621	0.0591660914081667	-0.0775354614697292	0.0216531164011402	0.082	0	0.9175	5e-04	0	0	Shared	male-biased	male-biased	common male-biased	male-biased	male-biased	common	Autosome	NA	NA
ENSG00000020256	ZFP64	-0.169483178757872	0.0408945391240666	-0.0279228247729373	0.0134612127627783	0.85	0	0.1495	5e-04	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000020922	MRE11A	0.212739791469503	0.0505828355458577	0.00178704156469617	0.0177985370305079	0.999	0	0.001	0	0	0	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000021574	SPAST	-0.179579816641373	0.0582457855094897	-0.0215977124257716	0.0102576916354793	0.9175	0	0.081	5e-04	5e-04	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000021776	AQR	0.0413319109039139	0.0279649035151554	0.0384016071828399	0.0101396498990124	0.113	0.0075	0.8065	0.033	0.025	0.015	Shared	ns	female-biased	adult female-biased	female-biased	female-biased	adult	Autosome	NA	NA
ENSG00000022267	FHL1	-0.151986819076522	0.0397555516663563	-0.0157774862090859	0.0149630057521037	0.955	0	0.0445	0	0	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	X chr	nonPAR	Inactive
ENSG00000022355	GABRA1	-0.257318069894187	0.190004284347302	-0.102908049950878	0.0252069954247181	0.0055	0.0065	0.9295	0.0245	0.016	0.018	Shared	ns	male-biased	adult male-biased	male-biased	male-biased	adult	Autosome	NA	NA
ENSG00000022556	NLRP2	0.866091545711593	0.279968082551885	0.512093129363455	0.148432048667574	0.05	0.0025	0.7375	0.177	0.0315	0.0015	Shared	female-biased	female-biased	common female-biased	female-biased	female-biased	common	Autosome	NA	NA
ENSG00000023330	ALAS1	-0.143616456409011	0.0348461989875809	0.0510986408957024	0.0154541635405402	0.8205	0	0	0	0	0.1795	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000023572	GLRX2	-0.20256671312504	0.0634195977446174	-0.000180633750706304	0.0161067804318226	0.9885	0	0.011	0	0	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000023839	ABCC2	0.404352993278044	0.0726091653081629	0.0622876994787073	0.0451276312498322	0.8865	0	0.113	5e-04	0	0	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000023902	PLEKHO1	-0.218016369976521	0.0645590358626057	-0.040634541909493	0.0182891059664636	0.667	0	0.331	0.0015	5e-04	0	Unclassified	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000024422	EHD2	-0.189749543645245	0.147777577708927	0.117981923618177	0.0270886378698476	0.0085	0.0555	0.2155	0.0265	0.046	0.648	Unclassified	ns	female-biased	adult female-biased	female-biased	NA	adult	Autosome	NA	NA
ENSG00000026652	AGPAT4	0.106634420801057	0.0315218526130854	-0.0183593136167828	0.0197555529520229	0.9655	0	0.0265	0	5e-04	0.0075	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000026950	BTN3A1	-0.0962467744565471	0.0744980985574297	0.134542130208397	0.0312923902484509	0.0095	0.0855	0.0135	0.008	0.0355	0.848	Opposite	ns	female-biased	adult female-biased	female-biased	NA	adult	Autosome	NA	NA
ENSG00000027847	B4GALT7	-0.233323774022725	0.0667453148531851	-0.0070884853669239	0.0133234422243615	0.993	0	0.006	0	5e-04	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000027869	SH2D2A	-0.575133103300715	0.121611879899451	0.149037784744002	0.06398730814355	0.9595	0	0	0	0	0.0405	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000028528	SNX1	0.106255165395181	0.0286423230589406	0.00683455461066403	0.010352161893841	0.96	0	0.039	5e-04	0	5e-04	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000028839	TBPL1	-0.147930757270371	0.0467184900154817	-0.00283884908271359	0.0133355912162351	0.988	0	0.0115	0	0	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000029725	RABEP1	-0.134132328353256	0.032333025024916	-0.00154352255329985	0.0125047407972471	0.9925	0	0.0075	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000032389	TSSC1	-0.278182344132444	0.0683679133020075	-0.0381654039822366	0.0115036138393781	0.7875	0	0.2125	0	0	0	Unclassified	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000033178	UBA6	-0.00758772600777958	0.0403078523532775	0.0493290317977897	0.0115287426976154	0.086	0.053	0.5315	0.047	0.078	0.2045	Unclassified	ns	female-biased	adult female-biased	female-biased	NA	adult	Autosome	NA	NA
ENSG00000034510	TMSB10	-0.354296047116545	0.0916732929484458	-0.00961344120769131	0.0200850039425782	0.997	0	0.003	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000034693	PEX3	-0.22024695436365	0.061184557404578	0.0188399990527175	0.013134413343644	0.998	0	0.0015	0	0	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000034713	GABARAPL2	-0.266434785479299	0.0579601135870042	-0.0233950011469806	0.0105707334480482	0.992	0	0.008	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000035862	TIMP2	-0.139359723581664	0.0442983920207269	-0.0316566298752987	0.0182237845355765	0.6895	0	0.307	0.0035	0	0	Unclassified	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000036054	TBC1D23	-0.0754273904995877	0.0323885283118366	0.0335980777533105	0.00931020418901001	0.757	0.0095	0.0285	0.002	0.0015	0.2015	Unclassified	ns	female-biased	adult female-biased	female-biased	NA	adult	Autosome	NA	NA
ENSG00000037241	RPL26L1	-0.236091568369953	0.0722245614673344	0.00790838267389784	0.0133149460892993	0.997	0	0.0025	0	0	5e-04	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000038219	BOD1L1	0.0945612794157461	0.0404580059835933	0.0442342033549213	0.0121438930937462	0.068	5e-04	0.9165	0.007	0.005	0.003	Shared	ns	female-biased	adult female-biased	female-biased	female-biased	adult	Autosome	NA	NA
ENSG00000040487	PQLC2	-0.191526020706069	0.0554462462749846	-0.0461376430911223	0.0125058894933904	0.1445	0	0.851	0.0035	5e-04	5e-04	Shared	male-biased	male-biased	common male-biased	male-biased	male-biased	common	Autosome	NA	NA
ENSG00000042753	AP2S1	-0.271417873703407	0.0645393604233134	-0.0412992595174541	0.0109869187062105	0.642	0	0.357	5e-04	5e-04	0	Unclassified	male-biased	male-biased	common male-biased	male-biased	NA	common	Autosome	NA	NA
ENSG00000044459	CNTLN	0.272921882803667	0.0531588236984785	0.0617247792318811	0.0200010067885054	0.3155	0	0.684	5e-04	0	0	Unclassified	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000046604	DSG2	0.29327603462833	0.0817384889948319	0.127385054525182	0.0651402288259413	0.3005	5e-04	0.6885	0.0095	0.001	0	Unclassified	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000046647	GEMIN8	0.0685143927660426	0.0411959577312819	0.127510854808418	0.0223559252264223	5e-04	0.0905	0.246	0.2345	0.4265	0.002	Shared	ns	female-biased	adult female-biased	female-biased	female-biased	adult	X chr	nonPAR	Escape
ENSG00000046651	OFD1	0.345923585931961	0.0325594666495942	0.0884038807175995	0.0177525339894376	0.0235	0	0.9765	0	0	0	Shared	female-biased	female-biased	common female-biased	female-biased	female-biased	common	X chr	nonPAR	Escape
ENSG00000047056	WDR37	-0.104178304106327	0.0278138238168101	-0.00432356412131453	0.0143093221126281	0.9575	0	0.0405	5e-04	0	0.0015	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000047249	ATP6V1H	-0.225654399052154	0.0574732278569959	-0.0592934720995011	0.0138063700975385	0.0225	5e-04	0.975	0.002	0	0	Shared	male-biased	male-biased	common male-biased	male-biased	male-biased	common	Autosome	NA	NA
ENSG00000047410	TPR	0.0677102038071046	0.0228737230886886	0.0395019499234981	0.0113081274944481	0.1	5e-04	0.8695	0.0205	0.009	5e-04	Shared	ns	female-biased	adult female-biased	female-biased	female-biased	adult	Autosome	NA	NA
ENSG00000047457	CP	0.59425060498162	0.188909458180337	0.0489190930713473	0.0929338727357334	0.8045	5e-04	0.188	0.003	5e-04	0.0035	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000047579	DTNBP1	-0.288249860384544	0.0805136490574142	-0.00601238816471569	0.0227474726768549	0.993	0	0.007	0	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000047597	XK	-0.0888304087951578	0.0806068761875339	-0.0833135572180965	0.0169213843304728	0.001	0.011	0.901	0.0455	0.0255	0.016	Shared	ns	male-biased	adult male-biased	male-biased	male-biased	adult	X chr	nonPAR	Variable
ENSG00000047849	MAP4	-0.165004435624532	0.0326039349631914	-0.0278758515031465	0.0193726672688917	0.874	0	0.1255	5e-04	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
ENSG00000048028	USP28	0.233899216753489	0.0636841905300484	0.0260656100252655	0.0125228307285403	0.9465	0	0.0535	0	0	0	Prenatal	female-biased	ns	prenatal female-biased	female-biased	NA	prenatal	Autosome	NA	NA
ENSG00000048162	NOP16	-0.159314554669091	0.0432404399015484	-0.0192914592198957	0.0168214186803035	0.9235	0	0.0755	0.001	0	0	Prenatal	male-biased	ns	prenatal male-biased	male-biased	NA	prenatal	Autosome	NA	NA
