Analysis	Direction	Trait	Ngenes	Beta	Beta_std	SE	pval
shared	femaleBiased	SCZ	173	0.010305	0.00086244	0.085869	0.45224
shared	maleBiased	SCZ	463	0.1344	0.018292	0.059888	0.012419
prenatal_specific	femaleBiased	SCZ	767	0.013605	0.0023681	0.043529	0.37732
prenatal_specific	maleBiased	SCZ	1046	-0.0032758	-0.00066196	0.038171	0.53419
hdbr	femaleBiased	TS	1184	-0.028982	-0.0061617	0.027378	0.8551
hdbr	maleBiased	TS	1728	-0.010573	-0.0026843	0.0243	0.66826
gtex	femaleBiased	TS	307	0.00603	0.00066473	0.052937	0.45466
gtex	maleBiased	TS	627	0.034298	0.0053681	0.040057	0.19594
shared	femaleBiased	TS	175	0.024525	0.0020467	0.0662	0.35552
shared	maleBiased	TS	467	0.019486	0.0026407	0.046946	0.33905
prenatal_specific	femaleBiased	TS	772	-0.033149	-0.00574	0.034022	0.83505
prenatal_specific	maleBiased	TS	1055	0.0090312	0.0018173	0.030319	0.3829
